"","S121","S122","S129","S130","S135","S136","S143","S144"
"ASV_44",5,2,2,0,0,0,3,3
"ASV_1",191,262,158,75,69,149,100,165
"ASV_47",13,11,2,20,14,3,8,0
"ASV_81",4,0,17,1,1,7,0,0
"ASV_62",2,3,1,22,6,5,3,0
"ASV_27",5,9,42,20,18,21,24,0
"ASV_130",4,4,0,2,4,2,0,2
"ASV_69",8,3,10,1,0,0,18,6
"ASV_90",6,11,6,2,0,3,9,2
"ASV_58",12,6,0,2,2,2,15,15
"ASV_17",17,19,41,60,38,24,15,30
"ASV_8",28,47,50,39,18,29,92,21
"ASV_12",13,16,27,43,32,20,44,10
"ASV_57",17,6,18,20,6,2,21,1
"ASV_85",3,3,7,30,2,5,0,0
"ASV_3",76,65,67,65,74,39,177,56
"ASV_33",9,14,9,14,9,14,43,6
"ASV_53",3,3,0,11,4,0,26,0
"ASV_20",10,15,25,17,24,18,15,1
"ASV_65",0,0,17,12,0,6,0,3
"ASV_35",7,1,20,12,7,10,5,6
"ASV_60",5,0,27,5,0,25,0,6
"ASV_7",19,10,38,38,87,49,17,0
"ASV_51",5,0,8,13,12,9,0,0
"ASV_13",24,33,21,35,28,7,10,6
"ASV_76",1,3,11,7,8,1,0,0
"ASV_79",0,2,4,6,11,0,22,2
"ASV_92",0,0,5,7,12,5,5,0
"ASV_32",6,4,33,29,36,9,8,5
"ASV_43",22,9,9,8,7,0,18,0
"ASV_61",10,4,3,9,0,2,12,1
"ASV_78",2,7,19,4,22,7,0,0
"ASV_82",1,4,14,2,3,1,0,0
"ASV_26",8,2,16,28,37,14,5,7
"ASV_66",6,1,10,11,10,5,0,0
"ASV_59",0,2,16,35,24,27,0,0
"ASV_71",1,0,4,0,6,12,7,2
"ASV_28",0,6,0,0,12,12,25,4
"ASV_37",5,14,0,16,18,11,35,12
"ASV_2",65,51,91,75,76,223,76,92
"ASV_5",32,30,17,1,8,0,0,15
"ASV_4",35,23,16,10,0,0,7,23
"ASV_9",19,12,4,0,0,0,11,56
"ASV_29",12,11,3,4,0,0,5,12
"ASV_16",8,12,0,0,3,4,21,56
"ASV_18",11,9,4,1,0,0,17,38
"ASV_11",27,17,7,3,0,0,0,17
"ASV_14",14,12,6,0,0,0,17,29
"ASV_39",9,7,0,1,0,0,0,10
"ASV_49",1,3,3,0,0,0,2,7
"ASV_15",0,4,8,28,165,94,0,0
"ASV_40",4,6,7,8,7,7,9,2
"ASV_306",0,1,1,0,3,0,1,0
"ASV_244",1,0,1,1,0,0,1,0
"ASV_309",0,1,0,1,5,1,1,0
"ASV_266",0,0,4,1,4,1,1,0
"ASV_87",2,0,3,0,0,0,1,0
"ASV_64",5,4,6,0,0,0,5,0
"ASV_10",23,14,22,0,0,47,7,0
"ASV_52",8,5,18,0,0,17,2,0
"ASV_89",1,2,7,7,0,4,0,4
"ASV_6",51,43,31,14,0,7,41,144
"ASV_84",1,6,4,7,0,3,10,3
