"","S145","S146","S153","S154","S159","S160","S167","S168"
"ASV_1",154,198,135,114,22,71,72,152
"ASV_47",21,4,7,17,13,20,20,1
"ASV_62",4,3,10,5,3,4,1,0
"ASV_27",11,5,27,41,11,48,5,5
"ASV_130",0,5,2,3,7,3,0,5
"ASV_17",9,11,40,51,32,54,10,0
"ASV_8",45,31,15,30,28,28,73,35
"ASV_12",23,7,38,36,51,14,26,25
"ASV_57",4,2,4,14,3,2,13,14
"ASV_85",1,0,4,8,10,0,4,0
"ASV_3",66,38,38,49,140,74,98,40
"ASV_33",15,8,12,3,29,19,31,7
"ASV_20",31,13,12,34,19,39,20,11
"ASV_35",13,6,22,13,7,17,18,10
"ASV_7",18,11,50,35,36,80,10,10
"ASV_13",32,24,30,28,36,33,16,6
"ASV_79",1,0,5,0,7,43,8,0
"ASV_32",8,3,20,41,8,10,24,5
"ASV_43",27,20,2,2,3,1,11,16
"ASV_26",0,2,27,13,41,33,18,13
"ASV_28",4,0,3,26,12,0,33,0
"ASV_37",1,19,12,12,13,20,32,17
"ASV_2",27,64,247,109,61,212,67,78
"ASV_4",37,36,10,7,6,0,16,61
"ASV_18",6,39,0,11,0,4,11,32
"ASV_14",25,25,12,0,2,0,11,26
"ASV_40",3,14,19,10,13,10,11,6
