"","S51","S59","S60","S61","S62","S69","S70"
"ASV_13",209,50,3,199,459,361,280
"ASV_44",60,95,43,14,56,39,6
"ASV_23",39,26,45,22,24,12,147
"ASV_33",15,6,5,18,17,13,32
"ASV_1",103,386,97,152,249,341,237
"ASV_10",0,23,17,0,15,12,37
"ASV_53",25,18,0,10,16,11,0
"ASV_2",414,556,193,645,460,880,644
"ASV_24",74,68,23,112,104,93,76
"ASV_5",300,213,144,308,299,470,487
"ASV_28",28,24,0,39,56,122,121
"ASV_40",67,15,20,65,67,66,51
"ASV_25",10,15,0,12,17,53,30
"ASV_3",106,98,55,39,93,80,46
"ASV_19",132,181,174,87,81,44,110
"ASV_11",124,185,176,140,160,128,201
"ASV_8",127,201,32,474,490,511,205
"ASV_9",604,226,418,185,268,59,120
"ASV_27",220,117,168,96,118,0,8
"ASV_21",230,150,211,132,151,40,59
"ASV_6",20,14,0,22,16,96,73
"ASV_32",17,32,10,52,45,113,169
"ASV_66",15,21,12,32,22,19,0
"ASV_68",21,0,20,21,11,12,19
"ASV_22",60,86,105,103,48,70,123
"ASV_18",100,114,103,161,101,92,93
"ASV_15",73,58,5,62,124,148,83
"ASV_43",23,149,12,14,162,62,63
"ASV_45",42,74,52,19,49,105,28
"ASV_26",122,77,230,98,166,18,10
"ASV_67",57,16,41,76,15,1,0
"ASV_39",26,257,16,44,26,21,0
"ASV_130",5,28,0,10,9,2,0
"ASV_20",72,206,85,177,85,64,10
"ASV_50",8,31,29,21,23,19,0
"ASV_128",0,0,18,0,6,8,12
"ASV_143",1,5,0,6,3,8,3
"ASV_55",10,0,36,25,66,34,34
"ASV_37",191,86,245,87,31,0,7
"ASV_16",564,200,911,286,155,66,134
"ASV_63",48,22,17,72,32,0,25
"ASV_164",3,1,3,17,11,10,10
"ASV_36",39,45,23,185,103,20,15
"ASV_100",22,1,86,2,0,2,0
"ASV_96",47,9,37,15,0,15,0
"ASV_12",320,121,277,287,323,442,982
