"","S125","S126","S127","S128","S137","S138","S139","S140"
"ASV_48",11,47,4,44,0,12,33,30
"ASV_4",235,172,128,256,801,721,220,495
"ASV_17",62,18,44,110,144,107,4,110
"ASV_30",15,71,18,79,191,58,33,40
"ASV_7",67,189,0,69,376,312,9,83
"ASV_23",0,47,13,14,0,26,74,16
"ASV_33",13,40,3,40,24,8,28,26
"ASV_1",1464,1876,1312,1109,1072,1581,631,1120
"ASV_10",119,424,139,168,159,401,51,88
"ASV_2",685,351,815,640,442,400,950,507
"ASV_25",176,98,258,91,0,17,64,84
"ASV_3",953,397,1514,1253,1539,955,521,474
"ASV_11",133,130,185,120,28,0,221,110
"ASV_59",0,79,15,33,0,21,0,16
"ASV_6",308,199,156,183,56,109,363,364
"ASV_57",18,12,4,38,0,27,10,37
"ASV_15",122,83,174,351,142,23,427,123
