"","contrast","fertilization","sampling.date","estimate","SE","df","t.ratio","p.value"
"1","control - rainout","D","X04.28.22",-37250,38450.6357410237,18,-0.968774619251803,0.345495727491511
"2","control - rainout","K","X04.28.22",-23000,38450.6357410237,18,-0.598169563564871,0.557179185174355
"3","control - rainout","M","X04.28.22",19500.0000000001,38450.6357410237,18,0.507143760413699,0.618210716628972
"4","control - rainout","D","X06.01.22",-9750.00000000002,40771.8073891479,18,-0.239135829985186,0.813701919294292
"5","control - rainout","K","X06.01.22",39000,40771.8073891479,18,0.956543319940742,0.351469635634809
"6","control - rainout","M","X06.01.22",19500.0000000001,40771.8073891479,18,0.478271659970374,0.638214252465188
"7","control - rainout","D","X07.05.22",-12250,50759.5776403057,18,-0.24133376535964,0.812024201610799
"8","control - rainout","K","X07.05.22",-69000,50759.5776403057,18,-1.35934937222981,0.190823824275909
"9","control - rainout","M","X07.05.22",24500.0000000002,50759.5776403057,18,0.482667530719285,0.635149617318537
